Company,Company URL,HQ Location,Country,Founded,Estimated Headcount,Known Customers,Strengths,Weaknesses,Discipline,Lifecycle Phase,Workflow Segment,Subsegment,Sector Focus,Category/Function Tags,Operating Model Tags,Differentiation Tags,Manufacturing Type,Industries Served,Investment List,Subcategories,Company Group,Latest Funding Round,Startup Lifecycle Phase,Lastest Funding Event Year,Latest Event Funding Amount,Total Current Known Funding Level,Current Estimated Annual Revenue,Estimated Market Value,Financials Notes,Investors and VCs,Market Opportunity,Market Opportunity Justification,Team & Execution,Team & Execution Justification,Technology Differentiation,Technology Differentiation Justification,Funding Efficiency,Funding Efficiency Justification,Growth Metrics,Growth Metrics Justification,Industry Impact,Industry Impact Justification,Competitive Moat,Competitive Moat Justification,Weighted Score,My Contacts,Social,Connected on LinkedIn?
Pelico,https://fr.pelico.ai,"Paris, France (Ops) / Miami, FL (HQ)",France 🇫🇷,2019,180,Undisclosed,Strong positioning in AI-powered manufacturing supply chain orchestration with clear disruption-response workflows,Crowded orchestration category and requires deep enterprise integration to win,Supply Chain,Operate,Supplier / Compliance,N A,AI supply chain orchestration for complex manufacturing,"Supply Chain Orchestration,Manufacturing AI,Resilience,GenAI","SaaS,B2B,enterprise,Platform,Subscription,Industry-specific,Cloud,Enterprise SaaS,B2B SaaS","AI-powered data automation,AI automation,AI-enabled supply chain platform,Workflow Automation,Operational Optimization,Embedded Distribution,Proprietary Models,Integration with existing engineering tools",Discrete Manufacturing,"Aerospace & Defense,Automotive,Industrial Equipment",Streamlined Supply Chain (SCM),AI-Native SCM Orchestration & Automation,Scaleup Expanders,Series C,Expansion Stage,2025,$40000000.0,$58500000.0,$0.0,$0.0,Total funding commonly reported as $58.5M ($18.5M in 2022 + $40M in 2025),Undisclosed or unknown,4.4,Supply chain disruption and inventory/lead-time volatility make orchestration a board-level priority,4.1,Team scale and continued funding indicate execution strength,4.1,Orchestration across production/supply/MRO with AI assistance can outperform siloed planning tools,3.6,Funding is meaningful but enterprise GTM is expensive,4.0,180 employees and follow-on financing signal momentum (hard revenue metrics not public),4.2,"Can reduce downtime, expedite response, and improve resilience across manufacturing networks",4.1,"Moat grows via embedded workflows, integrations, and proprietary disruption-response playbooks once scaled",4.09,Jonathan Hickson (CTO),,
CADEXSOFT,https://cadexsoft.com/,"Tallinn, Estonia",Estonia 🇪🇪,2014,55,"Volvo,Apple,NASA,Amazon",Proven developer-first CAD SDK heritage with large installed base and a focused Manufacturing Toolkit for feature recognition and DFM checks,Developer tools category is niche and growth depends on embedding into other platforms rather than direct end-user SaaS scaling,Design,Design,Concept Modeling,CAD SDK for quoting and DFM,CAD SDK enabling feature recognition DFM checks and web visualization for quoting and MaaS platforms,"CAD SDK,DFM,Feature Recognition,Quoting,MaaS,Web Visualization","B2B,Software,API-first,Platform,OEM","Feature Recognition,Developer-First APIs,High-fidelity Solutions,Embedded Distribution,Manufacturability focus,Fast RFQ workflows,Engineering Expertise To Tools",Discrete Manufacturing,"Aerospace & Defense,Automotive,Industrial Equipment,High Tech & Electronics",Design Intelligence (CAD),Design-for-Manufacturing & Quoting,Startup Raisers,Bootstrapped,Bootstrapped,2014,$0.0,$0.0,$0.0,$0.0,Company positions as self-funded with no public venture rounds and monetizes via software licensing for SDK and toolkits,Undisclosed or unknown,4.0,Large long-term demand for automating quoting and manufacturability checks as digital manufacturing platforms grow,4.1,Long operating history and shipped products with broad adoption signals strong execution,4.2,High-fidelity geometry plus automated feature recognition and DFM reporting in an embeddable SDK is differentiated versus generic viewers,4.3,Bootstrapped product business with sustained releases implies strong capital efficiency,3.7,Evidence of sustained product cadence and broad downstream embedding but revenue is not public,4.0,Can materially reduce quoting time and improve manufacturability feedback loops across CNC and sheet metal workflows,4.1,"Moat comes from deep geometry know-how, developer ecosystem lock-in, and long-lived integrations that are costly to replace",4.08,Roman Lygin (CEO)*,,checked
Werk24,https://werk24.io,"Munich, Bavaria, Germany",Germany 🇩🇪,2019,8,"DiManEx, Saphirion, Laserhub, other German manufacturers","AI-powered technical drawing feature extraction, SaaS, high context accuracy","Small team, new market, scaling challenges",AEC/BIM,Manufacture,AEC/BIM,Manufacturing data automation,"Manufacturing, Industry 4.0","manufacturing automation,Manufacturing software,workflow,automation,engineering SaaS,Manufacturing process and software","SaaS,B2B,Subscription,Industry-specific,Software,Product-led growth,cloud-native,Platform","AI-powered data automation,Production trained vision models,Manufacturing Focus Models,Automated Process Flow Mapping,Workflow Automation,AI Enabled Platform",Discrete Manufacturing,Industrial Equipment,"Factory Futures (MES, IIOT)",Connected Worker & Digital Work Instructions,Startup Raisers,Pre-Seed,Pre-Seed Stage,2019,$0.0,$0.0,$1000000.0,$20000000.0,"Munich‑based AI extraction for technical drawings; handles 100k+ drawings/month, partners with 3YOURMIND and others, but no announced funding, so treated as a bootstrapped/seed‑scale SaaS. ​",Undisclosed or unknown,4.0,"Fast-growing niche, SaaS renewable subscription market for engineering/process automation",3.7,"Small team, technical founding team",4.3,"Strong tech, but niche",4.4,"API-centric AI solution, unique context approach compared to OCR",4.2,"Minimal capital efficient, but not hyper-scale yet",3.8,"Revenue growing, small cohort",4.0,"Automates a manual workflow, early adopter market",4.06,Jochen Mattes,,
Evolinq,https://evolinq.io,"London, UK",United Kingdom 🇬🇧,2023,10,Multi-sector B2B firms,Plug-and-play procurement automation AI. Low-code API procurement automation,"Early stage, still piloting with SMEs",AI supply chain,Procurement,Supplier / Compliance,Low-code procurement,Procurement SaaS,Consulting,"API-first,SaaS,B2B,Platform,Self-Service,Software,Cloud,Subscription","low-code platform,AI automation,Workflow Automation",Discrete Manufacturing,Industrial Equipment,Streamlined Supply Chain (SCM),AI-Native SCM Orchestration & Automation,Startup Raisers,Seed,Seed Stage,2025,$1600000.0,$3000000.0,$1000000.0,$15000000.0,Early workflow/ops tool; no reliable external metrics.,Undisclosed or unknown,4.1,"Unified procurement automation, API-first for SMEs",4.0,Agile founding team,4.2,"Low-code integrations, real-time optimization",4.1,"Lean, low burn rate",4.0,Early pipeline and pilots,4.0,Market impact from democratizing procurement automation,3.8,"Unique API models, low competitive entrenchment",4.06,Adam Shaw,,
Mimic Robotics,https://www.mimicrobotics.com/,"Zürich, Switzerland",Switzerland🇨🇭,2024,8,"Founderful, another.vc, Tiny Supercomputer Investment Co, Innosuisse","AI-powered robotic hands/humanoid hand manipulators for dynamic, repetitive manual tasks integrating generative AI.","Hardware scaling, integration in industries, team size.",Robotics,Operation/Maintenance,Hardware,Robotic manipulation/AI,"Robotics, AI","Robotics,Hardware,Industrial AI assistant,Automation","HW plus SW,B2B,enterprise,Software","Hardware engineering,Deep learning CNC ops AMRC partnership,generative twins,AI automation,Robotic Assembly,Deep Domain Expertise,Hardware Focused AI Assistant,AI Driven Optimization,Unified Robotics Dev Stack,AI Native Stack",Discrete Manufacturing,Robotics,"SW+HW=Innovation (Robotics, Drones)",Robotics & Industrial Automation Platforms,Startup Raisers,Series A,Early Stage,2025,$16000000.0,$20000000.0,$1000000.0,$10000000.0,"Young robotics/AI‑controls company with limited disclosed funding; seed‑stage profile.Founderful, Innosuisse, various angels",Undisclosed or unknown,4.0,Huge robotics/industrial automation opportunity,4.2,"ETH Zurich team, deep AI + hardware",4.3,"Universal robotic hand, few direct competitors",3.6,Very high early capital efficiency,3.9,Initial pilots with industry partners,4.1,"Could unlock new types of automation, early proof points",4.1,"Deep learning model, unique hardware",4.05,"Stefan Weirich (CEO)
Elvis Nava
Stephan-Daniel Gravert
Benedek Forrai
Prof. Robert Katzschmann",,
Encycam,https://encycam.com,"Limassol, Cyprus",Cyprus 🇨🇾,2020,35,"Advanced manufacturing, Robot integrators","Offline robot programming, Cloud CAD/CAM, AI-based support, Digital twins","Relatively new market presence, Competes with established brands",CAM,Manufacture,CAM/CIM/CNC,Advanced CAD/CAM,Digital Manufacturing,"Digital Manufacturing,Manufacturing CNC automation,CNC optimization,manufacturing automation,Manufacturing AI,CNC Software,CAD/CAM","cloud-native,SaaS,Platform,API-first,B2B,enterprise,SMB,Cloud SaaS,Platform Play,Software","AI toolpath optimization,No-code builder for MES,generative twins,production software,modular toolbox,real-time integration,AI automation,collaborative intelligence,Digital Twins,cloud-native workflow",Discrete Manufacturing,Robotics,"Adaptive Manufacturing (AM, CAM, CNC)",AI-Native CAM & CNC Automation,Startup Raisers,Bootstrapped,Bootstrapped,2024,$0.0,$0.0,$1000000.0,$10000000.0,"Early AI/simulation tool in your universe; no reliable public metrics, so treated as seed‑stage.",Undisclosed or unknown,4.2,Growing demand for cloud-based digital manufacturing platforms,4.0,"Strong engineering team, experienced founders",4.2,"Unique AI-assisted workflows, multi-robot support, no-code digital twins",3.5,Efficient product rollout with limited resources,4.0,"Rapid uptake in factories, positive case studies",4.3,Industry-first in integrated digital workspace and AI-led programming for CAM,4.0,"Proprietary platform, direct robot/CNC integration, extensibility via API",4.04,Andrei Kharatsidi,,
Santinela,https://www.santinela.com/,"Bucharest, Romania",Romania 🇷🇴,2019,-1,"Manufacturing companies (FMCG, industrial), small and medium manufacturers","Industry 4.0 platform for manufacturing, OEE software, complete modular solution (OEE, TIA, CMMS, STDW), affordable pricing for SMEs, 18+ years manufacturing experience (founder), designed by workforce for workforce",,MES,Manufacture,MES / Factory Execution,"OEE Software, Manufacturing Execution System (MES), Industry 4.0 Platform, Production Management Software",OEE Optimization,"Manufacturing Analytics,Optimization,Manufacturing software,Digital Twin,Industrial Software,Smart Factory,AI for Industry 4.0,Factory Operations,Operational Intelligence,Industrial operations,IIOT","cloud-native,SaaS,cloud,SMB,Platform,B2B,Industry-specific,Subscription,Self-Service,Cloud SaaS,Vertical SaaS,Software","production software,Real-time metrics,modular toolbox,AI automation,flexible cloud-native setup,real-time integration,Digital Twins,Manufacturing Focus Models,Workflow Efficiency",Discrete Manufacturing,Industrial Equipment,"Factory Futures (MES, IIOT)",Factory Intelligence & Asset Analytics,Startup Raisers,Bootstrapped,Bootstrapped,2019,$0.0,$0.0,$1000000.0,$10000000.0,"Quality/monitoring platform (e.g., in packaging/textiles); some industrial customers but no visible large rounds.",Undisclosed or unknown,4.2,"Santinela provides AI-powered digital twin and predictive analytics solutions for manufacturing operations, targeting the global smart manufacturing and industrial IoT sectors. According to MarketsandMarkets, the smart manufacturing market is projected to reach $228.2 billion by 2027, growing at a CAGR of 18.5% (MarketsandMarkets, 2023). Santinela’s focus on operational efficiency and real-time data analytics positions it within a high-growth, multi-billion dollar industry.",4.3,"Santinela’s leadership includes CEO and co-founder Daniel F. Rivas, who brings prior experience in healthcare technology and data analytics. The team features professionals with backgrounds in hospital operations, AI, and SaaS. Notable advisors include healthcare executives and data science experts. The company has announced partnerships with major hospital systems and has secured funding from recognized healthtech investors. Product milestones include the launch of their real-time hospital operations platform and reported deployments in multiple U.S. hospitals, indicating early traction and sector validation. (As of December 21, 2025)",3.5,"Santinela offers a cloud-based manufacturing analytics platform focused on real-time OEE (Overall Equipment Effectiveness) monitoring and performance management, leveraging configurable dashboards and automated data capture (see Product and Technology pages, 2024). While the platform emphasizes ease of integration and actionable insights, there is no evidence of proprietary algorithms, patents, or unique hardware; differentiation appears to be incremental, centered on user experience and flexible deployment rather than novel technology. No independent analyst or award validation found in public sources as of December 21, 2025.",4.6,"No public funding efficiency data found as of December 21, 2025.",3.9,No public growth/adoption evidence found as of December 2025.,3.7,"Solid adoption, but not yet featured as a sector standard. Santinela highlights partnerships with healthcare providers and case studies demonstrating operational improvements in hospitals (e.g., efficiency gains at Hospital Universitario de Torrejón). However, there is limited coverage in major industry news, analyst reports, or awards over the past 24 months, and no evidence of widespread adoption or sector-defining impact as of December 2025.",3.3,"Santinela’s platform offers real-time manufacturing analytics and OEE monitoring with proprietary data integration and visualization tools (Product page, July 2025), but similar solutions exist from competitors like Tulip and MachineMetrics; no explicit claims of unique IP, patents, or exclusive partnerships are documented, indicating a moderate moat based on differentiated implementation rather than defensible technology.",4.02,Sorin Petcu,,
MapShots,https://www.mapshots.com,"Tel Aviv, Israel",Israel 🇮🇱,2015,60,Construction Firms,AI vision for construction progress,Project variability,Construction,Operations,Operations Intelligence,Reality Capture to BIM,Reality capture to BIM,Progress Tracking,"cloud-native,SaaS,cloud,B2B,Platform,Software,enterprise,SMB,Subscription,Product-led growth","AI-powered site management,Real-time progress visualization",Construction,General Contractors,Bleeding Edge BIM (AEC/BIM),Construction Progress & Reality Capture,Startup Raisers,Series A,Early Stage,2022,$5000000.0,$6000000.0,,$0.0,$30.0M,Undisclosed or unknown,4.0,Construction productivity gap remains huge,4.0,Execution solid but fragmented market,4.1,Vision driven site intelligence,4.0,Lean funding for scope,3.9,Steady adoption,4.1,"MapShots demonstrates moderate industry impact, primarily through its AgStudio platform, which is widely used for precision agriculture data management. The company has been referenced in industry news for its integration with John Deere Operations Center and partnerships with ag retailers and service providers. However, there are no recent major analyst benchmarks, high-profile awards, or sector-wide adoption announcements in the last 24 months. The customer base appears solid but not sector-defining, and MapShots is not yet featured as an industry standard.",4.0,Moat driven by visual dataset accumulation,4.02,"Ben Lang
Hillel Fuld
Philippe d'Argent",,
Cerebital (Nora IPLM),https://cerebital.com,"Newark, DE, USA
",United States 🇺🇸,2022,15,"Small/medium manufacturing and product development teams, pilot SMBs022","Cloud PLM, closed-loop product development, digital thread, strong CAD/BOM/PDM integration. Cloud PLM platform for SMB product teams—BOM management, digital thread, workflow automation, CAD integration. Freemium trial and sandbox. Disrupts legacy PLM with rapid, affordable SaaSCloud PLM platform for SMB product teams—BOM management, digital thread, workflow automation, CAD integration. Freemium trial and sandbox. Disrupts legacy PLM with rapid, affordable SaaS.","Competes against big PLM incumbents, niche in SMB, still scaling user base",PLM,Complete Lifecycle,PLM Automation,SMB Cloud PLM,"PLM, Innovation, Digital Thread","PLM,Digital thread,Workflow Automation,BOM,CAD/PLM Enablement,Cloud CAD,Engineering Collaboration,Manufacturing software,workflow","SaaS,cloud-native,SMB,Freemium,Platform,B2B,Product-led growth,Cloud SaaS,Vertical SaaS,Software","Workflow Automation,Single-source-of-truth,collaborative BOM,Digital Thread Integration,Real-time collaboration,Workflow Efficiency,Fast Deployment,Lightweight PLM alternative,cloud-native workflow",Discrete Manufacturing,Industrial Equipment,"Cognitive Thread (PLM, MBSE, DT)",AI-Native PLM & Digital Thread Platforms,Startup Raisers,Bootstrapped,Bootstrapped,2022,$0.0,$0.0,$1000000.0,$10000000.0,"Early intelligent PLM / engineering‑knowledge platform (Nora iPLM); likely bootstrapped or lightly seeded.Not publicly disclosed, seed/self-funded (2023–2025), Bootstrapped or quietly funded, focus on affordable pricing",Undisclosed or unknown,4.1,"SMB cloud PLM is growing, remote work drives demand.",4.1,"Lean team shipping frequent updates, SMB focus.",4.2,"Workflow automation, BOM Health, CAD/ERP integration.",4.2,"Low overhead, SaaS product delivers broad PLM for low cost.",3.7,"User base growing, pilots expanding, ARR growth.",3.5,Makes PLM accessible to SMB; moves PLM beyond large enterprise.,3.5,"Digital thread focus, collaborative workflow, but crowded PLM market.",4.01,"Manoj Krishnan (CEO) *
Deniz Pehlivankucuk*",Jan/Feb 2026,checked
cmBuilder.io,https://cmbuilder.io,"Vancouver, BC, Canada",Canada 🇨🇦,2020,33,Construction/project managers CA/US/UK,"Cloud-native 4D/5D BIM planning, open data and workflows","Competes with established enterprise, international scale needed",AEC/BIM,Operation/Maintenance,AEC/BIM,4D/5D Planning SaaS,VDC/BIM PM SaaS,"Construction Platform,BIM data and rules engine,Workflow Orchestration,Project management,Collaboration platform,Construction Ops,Workflow Automation","cloud-native,SaaS,API-first,Platform,B2B,Industry-specific,Software,Cloud SaaS","cloud-native workflow,4D Models,Open Data Standards,Modern UX,Real-time progress visualization,Integration with existing engineering tools",Construction,General Contractors,Bleeding Edge BIM (AEC/BIM),AI-Driven Design & Authoring,Startup Raisers,Bootstrapped,Bootstrapped,2022,$0.0,$15000000.0,$10000000.0,$55000000.0,"Construction scenario planning / 4D site logistics; Autodesk AU material quotes thousands of users and enterprise logos, ​ but no explicit funding; treated as a solid growth‑stage contech SaaS.",Undisclosed or unknown,4.4,Medium/large GCs moving workflows to cloud,4.2,"Industry SaaS experts, US+Canada cross-sell",3.5,"Browser-native, modern UX, open BIM API",3.5,"Capital discipline, steady growth",3.9,"Solid user/ARR expansion, strong referral",4.4,Field adoption speeds up VDC adoption in US/EU,4.5,"API strategy and PM integrations strong, giant PM players linger",4.00,Javier Glatt,,
Kyrall,https://kyrall.com,"Munich, Bavaria, Germany",Germany 🇩🇪,2025,4,"Robotics/automotive/aerospace engineers, early beta users not public","Automates 3D part design, turns ideas into manufacturable models in seconds, deep hardware industry experience in founding team","Early stage, not yet commercially validated, product still in alpha beta",CAD,Design,Concept Modeling,3D mechanical part automation,3D part CAD automation for hardware,"Generative CAD,Design automation,AI CAD workflow,Engineering Productivity,GenerativeDesign,Design For Manufacturing,Browser-based CAD,Text-to-CAD","SaaS,cloud-native,Platform,B2B,Self-Service,Product-led growth,community-driven,open-source,Plugins for CAM Software,Subscription","Fast concept-to-manufacturing loop,Early AI-native CAD,AI-driven design generation,Engineering Expertise To Tools,100-fold speed,Founder industrial background",Discrete Manufacturing,"Automotive,Aerospace & Defense,Robotics",Design Intelligence (CAD),Generative CAD & Geometry,Startup Raisers,Pre-Seed,Pre-Seed Stage,2025,$0.0,$0.0,$1000000.0,$5000000.0,"Very early AI/ops tool in your stack (little public footprint), so treated as seed‑stage.",Undisclosed or unknown,3.8,Large need for design productivity in hardware,3.9,"Tech robotics founders social proof, moving fast",4.3,"If successful, huge leap in speed for non-expert engineers",4.0,"Tiny team, capital efficient, product not scaled yet",3.8,"Market interest, but super early",4.0,"If adopted, broad new user base possible",3.8,"Early, would depend on integrations and community",3.97,"Osama Atwi (CEO) *
Ben Stickelbrucks (CTO)",Podcast with Bench?,checked
Sheetbuild,https://www.sheetbuild.com,"Munich, Germany",Germany 🇩🇪,2022,8,"DIY engineers, architectural designers, SMEs demo-centric customer logos not public",Spreadsheet-driven 3D configuration and pricing with live AI model generation and ERP export. Enables fast onboarding for non-experts,"Bootstrapped, unknown funding, low brand awareness outside Germany, limited integrations",CAD,Design,Concept Modeling,Configurable 3D modelling and automated quoting with Excel ERP integration,No or Low-code 3D Configurator SaaS,"no-code,Configurators,3D printing innovation,Quoting,Digital Manufacturing,production software,Manufacturing software","SaaS,Platform,B2B,Self-Service,Product-led growth,Subscription,Cloud,Software","No-code builder for MES,Fast concept-to-manufacturing loop,Instant Quote Workflow,Workflow Automation,AI-powered data automation","Discrete Manufacturing,Construction","Consumer Goods,Mechanical Engineering,Construction",Design Intelligence (CAD),No-Code Configurators & Rules Driven CAD,Startup Raisers,Bootstrapped,Bootstrapped,2023,$0.0,$0.0,$1000000.0,$20000000.0,Bootstrapped very lean fast feature cycles no public funding,Undisclosed or unknown,4.0,Demand is growing for low or no code design and quote tools for SMEs manufacturers niche market and sales cycles are slow,3.8,Lean experienced founders rapid dev self-funded,4.2,Unique spreadsheet to live 3D and AI quote ERP pipeline enables rapid prototyping for non-experts,4.2,No VC dilution rapid R and D efficient build and test cycles but cash constraints limit scale,3.6,Early traction small user base customer logos and testimonials not prominent yet,3.8,Potential to digitalize sales and configuration for long tail manufacturers and designers if adopted,3.8,Novel workflow architecture competitive threats from larger platforms some integration challenges remain,3.96,Daniel Zuidinga +,,checked
Response,https://tryresponse.com,"Austin, TX, USA",United States 🇺🇸,2024,6,"Tech startups, consultancies",Digital procurement officer AI platform,"Very early, pilot clients",AI supply chain,Procurement,Supplier / Compliance,Procurement agent,Procurement SaaS,,"SaaS,B2B,Platform,Subscription,enterprise,SMB,Software,Product-led growth","AI automation,Workflow Automation,Agentic automation,Task Automation,AI-powered data automation",Discrete Manufacturing,Industrial Equipment,Streamlined Supply Chain (SCM),AI-Native SCM Orchestration & Automation,Startup Raisers,Bootstrapped,Bootstrapped,2025,$900.0,$1200000.0,$1000000.0,$10000000.0,New RFP / incident‑response / ops‑coordination tool; effectively seed‑stage.,Undisclosed or unknown,4.0,Automates key procurement officer workflows with digital assistant,3.8,Small but highly technical founding group,4.1,Conversational AI for procurement tasks and approvals,4.0,Very lean burn rate,3.8,Early pipeline in tech vertical,4.0,Removes admin burden for small supply chain teams,3.7,"Workflow IP, but low barriers",3.95,Jim Reynolds,,
Foundation EGI,https://www.foundationegi.com,"Los Altos, California, USA",United States 🇺🇸,2023,30,Undisclosed,Agentic engineering platform vision spanning engineering tasks across lifecycle handoffs,Needs proof of real deployments and reliability in production settings,Manufacturing,Design,Concept Modeling,N A,Engineering general intelligence platform,"Agentic AI,Engineering Automation","Platform,B2B,cloud-native,SaaS,enterprise,Subscription,Product-led growth","Agentic Engineering,Instruction Execution Layer,Embedded Distribution,Agentic workflow layer for requirements,Workflow Embedded Agents,Deep Automation","Discrete Manufacturing,Process Industries","Industrial Equipment,Aerospace & Defense","Cognitive Thread (PLM, MBSE, DT)",AI-Native PLM & Digital Thread Platforms,Startup Raisers,Series A,Early Stage,2025,$23000000.0,$23000000.0,$0.0,$0.0,Series A amount is publicly reported,Undisclosed or unknown,4.3,If agents can execute engineering tasks reliably the upside spans many industrial functions,3.9,Funding and positioning indicate strong team but delivery proof is still emerging,4.2,Instruction execution layer for engineering is more specific than generic copilots,3.5,Large round reduces efficiency signal but provides runway,3.5,Funding event suggests momentum but customer metrics are limited publicly,4.0,Could reduce friction across digital thread handoffs if embedded in real workflows,3.8,"Moat depends on embedded workflows, integrations, and proprietary instruction corpora",3.95,"Michael Foshey *+
Mok Oh (CEO)",,checked
ShapesXR,https://shapesxr.com,"Vienna, Austria",Austria 🇦🇹,2018,40,XR Design Teams,Collaborative XR design workflows,XR adoption cycles,Operations,Design,Concept Modeling,Spatial and XR Design Collaboration,3D spatial prototyping,Spatial Workflows,"SaaS,Platform,B2B,Subscription,Product-led growth,Software,Cloud","Multi User XR Design,Cross Platform XR,Real-time collaboration,XR-first communication layer,Real-time 3D creation,Native VR modeling,Freeform spatial ideation",Construction,Architecture,Bleeding Edge BIM (AEC/BIM),AI-Driven Design & Authoring,Startup Raisers,Seed,Seed Stage,2022,$8600000.0,$8600000.0,,$0.0,$35.0M,Undisclosed or unknown,3.9,XR collaboration is emerging but growing,3.8,Execution early but credible,4.1,True spatial multi user design,3.9,Lean early funding,3.8,Gradual adoption growth,3.9,Enables new spatial workflows,3.9,Moat from workflow depth and creator lock in,3.91,Inga Petryaevskaya,,
PAILOT,https://en.pailot.com,"Karlsruhe, Germany",Germany 🇩🇪,2002,25,SME Manufacturers,AI driven APS focused on usability,Enterprise planning change management,Manufacturing,Operations,Supplier / Compliance,Production Planning and Scheduling,Production scheduling & dispatch,Scheduling Optimization,"SaaS,B2B,enterprise,Subscription,Platform,Software,Product-led growth","AI automation,flexible cloud-native setup,production software,Integration Depth,Workflow Automation,Fast Time To Value,Manufacturing Fit,Operational Optimization,AI Enabled Platform",Discrete Manufacturing,SMEs,"Augmented Operations (MOM, CMMS, AR/VR, SLM)",AI Vision QA & Inspection Platforms,Startup Raisers,Seed,Seed Stage,2025,$0.0,$0.0,,$0.0,$0.0M,Undisclosed or unknown,4.0,Scheduling remains a core lever for factory performance,3.8,Execution credible but limited public scale proof,4.1,Modern AI driven APS positioning,3.6,Funding efficiency unclear due to missing data,3.8,Moderate traction via pilots and partnerships,4.0,Improves responsiveness of manufacturing operations,3.7,Moat driven by integration depth and planning workflow lock in,3.89,Rico Knapper,,
Vestigas,https://vestigas.com,"Tel Aviv, Israel",Israel 🇮🇱,2020,45,Developers,AI construction cost tracking,Market education needed,Construction AI,Operations,Operations Intelligence,Cost and Compliance Tracking,"Cost, compliance and controls",Change Order Tracking,"SaaS,B2B,cloud,enterprise,Industry-specific,Software,Platform","Financial Visibility Layer,Centralized ESG and carbon data platform,""Regulatory compliance focus (CSRD, GHG, EU Taxonomy)"",AI-powered data automation",Construction,General Contractors,Bleeding Edge BIM (AEC/BIM),"Estimating, Takeoff & Pre-Con",Startup Raisers,Series A,Early Stage,2023,$8000000.0,$8000000.0,,$0.0,$40.0M,Undisclosed or unknown,3.9,Cost overruns are endemic in construction,3.8,Early but focused execution,4.0,Unique financial intelligence layer,3.9,Lean early stage burn,3.7,Early traction,3.9,Improves cost transparency,3.9,Moat from financial data normalization,3.88,Julian Blum,,
EltegraAI,https://www.eltegra.ai/,"Naples, FL, USA",United States 🇺🇸,2024,40,N A,"Strong AI powered requirements generation and validation workflow, Clear automotive compliance use case around ISO 26262 AUTOSAR and ASPICE, Integrated traceability and requirement linked test case generation","Very early company, Limited public customer disclosure, Crowded AI product development tooling market",PLM,Design,Requirements Management,AI Powered Requirements Management,AI Powered Requirements Management And Compliance Automation,"Requirements Management,Compliance Automation,Traceability,Test Case Generation","Cloud SaaS,AI Copilot","Automotive Compliance Validation,Industry Playbooks,Requirements Linked Test Generation",Discrete Manufacturing,"Automotive,Healthcare,Financial Services,Enterprise Software","Cognitive Thread (PLM, MBSE, DT)",MBSE & Systems Engineering Hubs,Startup Raisers,Bootstrapped,Bootstrapped,2024,$0.0,$0.0,$0.0,$0.0,LinkedIn lists the company as founded in 2024 in Naples Florida with 11 to 50 employees and Tracxn describes it as unfunded,Undisclosed or unknown,4.0,Automotive software compliance and requirements traceability are real pain points and the platform targets them directly with a concrete workflow,3.5,The team appears early but the company has a clear domain narrative and recent launch momentum,4.1,Differentiation comes from combining AI generated requirements with compliance validation traceability and linked test generation in one workflow,4.4,The company appears unfunded so progress to launch suggests capital efficiency although scale is still unproven,3.2,Public traction signals are still limited with no disclosed customer base or revenue footprint,3.8,If adopted in regulated product development this could reduce requirements errors and speed validation in automotive and other compliance heavy sectors,3.7,Moat can build through domain tuned compliance playbooks traceability graph and embedded workflow integration if adoption deepens,3.87,,,
AI MakerSpace,https://www.aimakerspace.io,"London, UK",United Kingdom 🇬🇧,2021,7,"STEM camps, summer educators","AI-powered digital prototyping for STEM/camps, quick in-browser building","Extracurricular-based, not core curricular offering yet",CAD,Learn,Education,STEM Maker EdTech,STEM/Maker EdTech,"STEM Training,Training,Automation","SaaS,B2C,Subscription,Product-led growth,Self-Service,Platform,Cloud,Software","Simple UX,Fast Deployment,Browser-based workflow,AI-powered data automation,Workflow Automation",Discrete Manufacturing,Academia,"Knowledge Engineering (R&D, Learning)",K12-Level Training,Startup Raisers,Bootstrapped,Bootstrapped,2023,$0.0,$600000.0,$1000000.0,$10000000.0,Young industrial/ops platform in your stack; assumed seed‑stage.,Undisclosed or unknown,4.5,"STEM/AI maker trend growing, niche to afterschool",3.7,"Camp and edtech entrepreneurs, product/ops small",3.9,Automated STEM project grading unique in niche,3.5,"Grant, tuition, lean ops model",3.6,"Seasonal demand, growing recurring customers",3.8,Low-barrier access inspires hands-on AI skills,3.5,"Content and brand moat, but market is fragmented",3.86,"Dr. Greg Loughnane*
Chris ""The Wiz 🪄"" Alexiuk",,checked
